question_no | count      | i          | time_spent 
       12467|        3330|        3330|               3534.22 
         950|        3340|        3340|               3544.17 
       11083|        3350|        3350|               3552.87 
        5063|        3360|        3360|               3561.08 
       66486|        3370|        3370|               3569.49 
       43699|        3380|        3380|               3588.15 
       36542|        3390|        3390|               3595.46 
       66889|        3400|        3400|               3603.99 
      146732|        3410|        3410|               3611.32 
       45156|        3420|        3420|               3618.87 
       21403|        3430|        3430|               3627.15 
       14330|        3440|        3440|               3635.57 
       40912|        3450|        3450|               3643.59 
       48009|        3460|        3460|               3653.38 
       32714|        3470|        3470|               3661.19 
       36980|        3480|        3480|               3669.45 
        1501|        3490|        3490|               3676.94 
       47549|        3500|        3500|               3688.71 
       10768|        3510|        3510|               3696.85 
       36757|        3520|        3520|               3707.34 
       23792|        3530|        3530|               3716.88 
       33050|        3540|        3540|               3727.74 
       12769|        3550|        3550|               3749.40 
       59925|        3560|        3560|               3766.85 
        1677|        3570|        3570|               3775.32 
       14367|        3580|        3580|               3782.75 
       38696|        3590|        3590|               3791.19 
       23755|        3600|        3600|               3798.80 
      178108|        3610|        3610|               3808.61 
       38158|        3620|        3620|               3820.51 
      157062|        3630|        3630|               3831.52 
       26368|        3640|        3640|               3843.04 
        9287|        3650|        3650|               3851.60 
        6022|        3660|        3660|               3864.83 
       33245|        3670|        3670|               3873.41 
       31697|        3680|        3680|               3887.58 
       60583|        3690|        3690|               3914.54 
      163855|        3700|        3700|               3926.81 
       46654|        3710|        3710|               3938.08 
       27540|        3720|        3720|               3947.31 
       28636|        3730|        3730|               3959.55 
       22205|        3740|        3740|               3970.14 
       31865|        3750|        3750|               3978.92 
       25425|        3760|        3760|               3992.09 
       12017|        3770|        3770|               4015.93 
       39146|        3780|        3780|               4023.88 
       48935|        3790|        3790|               4033.92 
      147141|        3800|        3800|               4042.06 
       21203|        3810|        3810|               4051.66 
        5062|        3820|        3820|               4063.38 
       66304|        3830|        3830|               4071.53 
       44427|        3840|        3840|               4082.27 
       35580|        3850|        3850|               4091.93 
       38638|        3860|        3860|               4101.68 
       28893|        3870|        3870|               4117.34 
       25208|        3880|        3880|               4129.02 
       39801|        3890|        3890|               4136.99 
       45095|        3900|        3900|               4144.08 
       31649|        3910|        3910|               4151.64 
       32946|        3920|        3920|               4160.68 
        6417|        3930|        3930|               4170.15 
       47367|        3940|        3940|               4179.14 
      163153|        3950|        3950|               4189.49 
       18834|        3960|        3960|               4199.38 
      147172|        3970|        3970|               4209.29 
        3194|        3980|        3980|               4218.82 
      170862|        3990|        3990|               4228.96 
      174644|        4000|        4000|               4237.70 
       12477|        4010|        4010|               4246.74 
        4035|        4020|        4020|               4254.63 
       43509|        4030|        4030|               4264.77 
       30228|        4040|        4040|               4280.18 
        5697|        4050|        4050|               4287.58 
       42425|        4060|        4060|               4295.58 
        1850|        4070|        4070|               4306.04 
       65428|        4080|        4080|               4314.14 
        5851|        4090|        4090|               4322.56 
       28521|        4100|        4100|               4334.49 
      160772|        4110|        4110|               4346.16 
       25537|        4120|        4120|               4354.70 
       37898|        4130|        4130|               4365.29 
       38573|        4140|        4140|               4375.23 
       35120|        4150|        4150|               4384.68 
       21145|        4160|        4160|               4394.70 
       37653|        4170|        4170|               4406.95 
       16219|        4180|        4180|               4418.16 
       15756|        4190|        4190|               4428.30 
        9224|        4200|        4200|               4437.06 
         152|        4210|        4210|               4446.01 
       42849|        4220|        4220|               4459.39 
       17030|        4230|        4230|               4472.38 
       48806|        4240|        4240|               4488.56 
       15861|        4250|        4250|               4502.10 
        6651|        4260|        4260|               4513.82 
       31169|        4270|        4270|               4521.59 
      149967|        4280|        4280|               4571.20 
        2597|        4290|        4290|               4588.51 
       10391|        4300|        4300|               4599.61 
       27846|        4310|        4310|               4609.98 
       18966|        4320|        4320|               4619.13 
       23368|        4330|        4330|               4630.30 
      163714|        4340|        4340|               4767.59 
        1391|        4350|        4350|               4776.23 
       50312|        4360|        4360|               4784.36 
         475|        4370|        4370|               4791.44 
       35214|        4380|        4380|               4799.11 
       14632|        4390|        4390|               4806.11 
       37577|        4400|        4400|               4813.54 
       20641|        4410|        4410|               4820.56 
       43125|        4420|        4420|               4828.14 
        5660|        4430|        4430|               4835.42 
       67304|        4440|        4440|               4843.77 
       46300|        4450|        4450|               4851.51 
       38841|        4460|        4460|               4859.25 
       50204|        4470|        4470|               4866.45 
       36548|        4480|        4480|               4874.98 
      150418|        4490|        4490|               4882.18 
       15148|        4500|        4500|               4890.05 
        9859|        4510|        4510|               4897.87 
        9563|        4520|        4520|               4905.96 
      168074|        4530|        4530|               4914.31 
       44801|        4540|        4540|               4921.68 
       15532|        4550|        4550|               4929.22 
       32765|        4560|        4560|               4936.95 
       10262|        4570|        4570|               4946.43 
       51340|        4580|        4580|               4954.33 
       47132|        4590|        4590|               4961.18 
       63313|        4600|        4600|               4969.41 
       34951|        4610|        4610|               4977.18 
      165838|        4620|        4620|               4985.01 
       10269|        4630|        4630|               4992.82 
        3709|        4640|        4640|               5001.88 
